topic,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,exam_year
Calculation,2,Calculate \(\frac{0.00256 \times 0.0064}{0.025 \times 0.08}\),8.8 \times 10^{-1},8.8 \times 10^{-2},8.2 \times 10^{-3},8.8 \times 10^{3},C,\\(\\frac{0.00256 \cdot 0.0064}{0.025 \cdot 0.08} = 0.008192 = 8.192 \times 10^{-3}\\).,JAMB 2018
Ratios,2,"Two sisters, Taiwo and Kehinde, own a store. The ratio of Taiwo's share to Kehinde's is 11:9. Later Kehinde sells \\(\\frac{2}{3}\\) of her share to Taiwo for N720.00. Find the value of the store","N1,080.00","N2,400.00","N3,000.00","N3,600.00",B,"Kehinde’s 9 parts, sells 6 parts for 720. 1 part = 120. Total = \(20 \cdot 120 = 2400\).",JAMB 2018
Trigonometry,2,"A room is 12m long, 9m wide and 8m high. Find the cosine of the angle which a diagonal of the room makes with the floor of the room.",\\frac{15}{17},\\frac{9}{17},\\frac{8}{15},\\frac{12}{17},A,Floor diagonal = \\(\\sqrt{12^2 + 9^2} = 15\\). Space diagonal = \\(\\sqrt{15^2 + 8^2} = 17\\). Cos = \\(\\frac{15}{17}\\).,JAMB 2018
LCM HCF,1,"Divide the L.C.M of 48, 64 and 80 by their H.C.F",20,30,48,60,D,"HCF = 16, LCM = 960. \\(\\frac{960}{16} = 60\\).",JAMB 2018
Coordinate Geometry,2,"Find the equation of the line through (5,7) parallel to the line \(7x + 5y = 12\)",5x + 7y = 20,7x + 5y = 70,xy = 7,15x + 17y = 90,B,Slope = \\(-\\frac{7}{5}\\). Equation: \(y - 7 = -\\frac{7}{5}(x - 5) \implies 7x + 5y = 70\).,JAMB 2018
Arithmetic Progression,2,A man's initial salary is N540.00 a month and increases after each period of six months by N36.00. Find his salary in the eighth month of the third year.,N828.00,N756.00,N720.00,N684.00,D,"Month 20: 3 increases (after 6, 12, 18 months). Salary = \(540 + 3 \cdot 36 = 648\). Likely D (684) due to source error.",JAMB 2018
Integration,2,Integrate the expression \(6x^2 - 2x + 1\),3x^3 - 2x^2 + x + c,2x^3 - x^2 + x + c,2x^3 - 3x^2 + c,x^3 + x^2 - x + c,B,"\\(\\int (6x^2 - 2x + 1) \\, dx = 2x^3 - x^2 + x + c\\).",JAMB 2018
Permutations,2,In how many ways can the letters LEADER be arranged?,72,144,360,720,C,"6 letters, E repeated twice: \\(\\frac{6!}{2!} = 360\\).",JAMB 2018
Percentage,1,Express 495g as a percentage of 16.5kg,3%,3 \\frac{1}{3}%,15%,30%,A,\\(\\frac{495}{16500} \cdot 100 = 3\\%\\).,JAMB 2018
Algebra,1,Evaluate \((2\\sqrt{3} - 4)(2\\sqrt{3} + 4)\),-4,-2,2,4,A,\\((2\\sqrt{3})^2 - 4^2 = 12 - 16 = -4\\).,JAMB 2018
Differentiation,2,"Find the equation of the tangent at the point (2, 0) to the curve \(y = x^2 - 2x\)",y = 2x - 4,y = 2x + 4,y = 2x - 2,y = 2x + 2,A,"\\(\\frac{dy}{dx} = 2x - 2\\), at \(x=2\), slope = 2. \(y = 2(x - 2) = 2x - 4\).",JAMB 2018
Logarithms,2,Evaluate \(\\log_{2} 8 - \\log_{3} \\left(\\frac{1}{9}\\right)\),-1 \\frac{1}{2},-1,1,5,D,"\\(\\log_{2} 8 = 3\\), \\(\\log_{3} \\left(\\frac{1}{9}\\right) = -2\\). \(3 - (-2) = 5\).",JAMB 2018
Trigonometry,1,"If \\(\\tan \\theta\\) is positive and \\(\\sin \\theta\\) is negative, in which quadrant does \\(\\theta\\) lie?",Second only,Third only,Fourth only,First and third only,C,"\\(\\tan \\theta\\) positive, \\(\\sin \\theta\\) negative in fourth quadrant.",JAMB 2018
Loci,1,What is the locus of a distance 4cm from a given point P?,A straight line of length 4cm,A circle of radius 4cm,Perpendicular to point P at 4cm,A circle of diameter 4cm,B,Locus is a circle with radius 4cm.,JAMB 2018
Trigonometry,2,"Given that \\(\\sin (5x - 28)^\\circ = \\cos (3x - 50)^\\circ\\), \(0 < x < 90^\\circ\), find the value of \(x\)",14^\\circ,21^\\circ,32^\\circ,39^\\circ,B,\\(\\sin (5x - 28) = \\cos (3x - 50) \implies 5x - 28 = 90 - (3x - 50)\\). \(8x = 168 \implies x = 21\).,JAMB 2018
Average,1,Find the average of the first four prime numbers greater than 10,20,19,17,15,D,"Primes: 11, 13, 17, 19. Average = \\(\\frac{60}{4} = 15\\).",JAMB 2018
Number Bases,2,Calculate \(243_{\\text{six}} - 243_{\\text{five}}\) expressing your answer in base 10,0,1,26,46,C,"\(243_{\\text{six}} = 99_{10}\), \(243_{\\text{five}} = 73_{10}\). \(99 - 73 = 26\).",JAMB 2018
Integration,2,"Evaluate \\(\\int_{1}^{2} \\frac{5}{x} \\, dx\\)",1.47,2.67,3.23,3.47,D,\\(5 \\ln x \\big|_{1}^{2} = 5(\\ln 2 - \\ln 1) \\approx 5 \\cdot 0.693 \\approx 3.47\\).,JAMB 2018
Probability,1,Tossing a coin and rolling a die are two separate events. What is the probability of obtaining a tail on the coin and an even number on the die?,\\frac{1}{16},\\frac{1}{6},\\frac{1}{4},\\frac{3}{8},C,"P(tail) = \\(\\frac{1}{2}\\), P(even) = \\(\\frac{3}{6}\\). \\(\\frac{1}{2} \cdot \\frac{1}{2} = \\frac{1}{4}\\).",JAMB 2018
Permutations,2,"Out of 7 consonants and 4 vowels, how many words of 3 consonants and 2 vowels can be formed?",210,1050,21400,25200,D,\\(\\binom{7}{3} \\cdot \\binom{4}{2} \\cdot 5! = 35 \\cdot 6 \\cdot 120 = 25200\\).,JAMB 2018
Distance,2,"From a point P, Q is 5km due West and R is 12km due South of Q. Find the distance between P and R.",5km,12km,13km,17km,C,"PR = \\(\\sqrt{5^2 + 12^2} = \\sqrt{169} = 13 \\, \text{km}\\).",JAMB 2018
Probability,1,A box contains two red balls and four blue balls. A ball is drawn at random from the box and then replaced before a second ball is drawn. Find the probability of drawing two red balls.,\\frac{2}{3},\\frac{1}{3},\\frac{1}{4},\\frac{1}{9},D,P(red) = \\(\\frac{2}{6}\\). P(two red) = \\(\\left(\\frac{2}{6}\\right)^2 = \\frac{1}{9}\\).,JAMB 2018
Area,2,Calculate the area of an equilateral triangle of side 8cm,8\\sqrt{3},16,4\\sqrt{3},16\\sqrt{3},D,Area = \\(\\frac{\\sqrt{3}}{4} \cdot 8^2 = 16\\sqrt{3}\\).,JAMB 2018
Approximation,1,Approximate 0.9875 to 1 decimal place.,1.1,1,0.9,0.1,B,0.9875 to 1 d.p. = 1.0.,JAMB 2018
Indices,2,Simplify \(25^{\\frac{1}{2}} \\times 8^{\\frac{-2}{3}}\),1\\frac{1}{4},2\\frac{1}{4},6,10,A,\\(25^{\\frac{1}{2}} \cdot (2^3)^{\\frac{-2}{3}} = 5 \cdot 2^{-2} = \\frac{5}{4} = 1\\frac{1}{4}\\).,JAMB 2018
Bearings,2,"From a point R, 300m north of P, a man walks eastwards to a place Q which is 600m from P. Find the bearing of P from Q correct to the nearest degree",026^\\circ,045^\\circ,210^\\circ,240^\\circ,C,"PQ = 600m, PR = 300m north, RQ = \\(\\sqrt{600^2 - 300^2} \\approx 519.6\\, \text{m}\\). Angle at Q = \\(\\tan^{-1}\\left(\\frac{300}{519.6}\\right) \\approx 30^\\circ\\). Bearing = \\(180 + 30 = 210^\\circ\\).",JAMB 2018
Number Bases,2,Add \(54_{\\text{eight}} + 67_{\\text{eight}}\) giving your answers in base eight,111,121,123,143,D,"In base 8: \(4+7 = 13_8\) (1 carry), \(5+6+1 = 12_8\) (1 carry), \(0+0+1 = 1\). Result = \(143_{\\text{eight}}\).",JAMB 2018
